manner_of_death,age,gender,race,region,signs_of_mental_illness,threat_level,flee,body_camera,arms_category
shot,36-50,M,Black,East North Central,No,attack,Foot,No,Guns
shot,26-35,M,White,Pacific,Yes,attack,Foot,Yes,Guns
shot,0-18,M,White,South Atlantic,Yes,attack,Not fleeing,No,Guns
shot,26-35,M,White,Mountain,No,other,Not fleeing,No,Sharp objects
shot,51-75,M,Hispanic,South Atlantic,No,attack,Not fleeing,No,Unarmed
shot,26-35,M,White,West South Central,No,attack,Not fleeing,No,Guns
shot,0-18,M,White,Mountain,No,attack,Other,No,Guns
shot,26-35,M,Black,Middle Atlantic,No,attack,Not fleeing,No,Guns
shot,36-50,M,Black,East South Central,No,attack,Not fleeing,No,Guns
shot,26-35,M,Black,West North Central,No,attack,Not fleeing,No,Guns
shot and Tasered,51-75,M,White,East North Central,No,other,Not fleeing,No,Sharp objects
shot and Tasered,36-50,F,White,Mountain,No,other,Car,No,Sharp objects
shot,19-25,M,Hispanic,West South Central,Yes,undetermined,Not fleeing,No,Guns
shot,26-35,M,Black,South Atlantic,No,attack,Not fleeing,No,Sharp objects
shot,36-50,M,White,South Atlantic,No,attack,Not fleeing,No,Sharp objects
shot,19-25,M,Hispanic,Middle Atlantic,Yes,other,Not fleeing,No,Sharp objects
shot,26-35,M,Black,South Atlantic,No,attack,Not fleeing,No,Guns
shot,36-50,M,White,Middle Atlantic,No,attack,Not fleeing,No,Other unusual objects
shot,36-50,M,White,West North Central,No,attack,Not fleeing,No,Guns
shot,36-50,M,White,Mountain,No,attack,Car,No,Guns
shot,19-25,M,Black,East North Central,No,attack,Not fleeing,No,Guns
shot,26-35,F,White,West South Central,Yes,attack,Not fleeing,No,Guns
shot,36-50,M,Black,East South Central,Yes,attack,Not fleeing,No,Sharp objects
